X,Y,OBJECTID,asset_id,system_type,invert_level_nzvd2016,invert_level_wgtn1953,chamber_floor_depth,cover_level_nzvd2016,cover_level_wgtn1953,node_type,manhole_type,status,location,kcdc_histo_id,year_installed
1780958.729,5486324.8445,13010717,KWWN000400,Wastewater,7.09,7.46,1.53,8.62,8.99,WWMH,,INUS,Otaki,OSM00247,1977
1778918.665,5488147.1855,13010718,KWWN000572,Wastewater,1.29,1.67,1.24,2.53,2.91,WWMH,,INUS,Otaki,OSM00052,1979
1782873.426,5485525.1515,13010719,KWWN000781,Wastewater,31.62,32,1.73,33.35,33.73,WWMH,,INUS,Otaki,OSM00480,1979
1780856.908,5484833.5335,13010720,KWWN000095,Wastewater,7.99,8.37,3.21,11.2,11.57,WWMH,,INUS,Otaki,OSM00788,1978
1780625.084,5486284.4515,13010721,KWWN000365,Wastewater,6.1,6.47,1.7,7.8,8.17,WWMH,,INUS,Otaki,OSM00262,1976
1783250.492,5485795.7045,13010722,KWWN000803,Wastewater,,,,,,WWMH,,INUS,Otaki,,
1780708.492,5486464.2665,13010723,KWWN000356,Wastewater,5.08,5.45,1.93,7.01,7.38,WWMH,,INUS,Otaki,OSM00241,1976
1781886.696,5485412.3215,13010724,KWWN000646,Wastewater,11.7,12.08,1.09,12.79,13.17,WWMH,,INUS,Otaki,OSM00416,1978
1782796.876,5485877.0845,13010725,KWWN000771,Wastewater,30.09,30.47,2.54,32.63,33.01,WWMH,,INUS,Otaki,OSM00441,1978
1781286.598,5485288.5565,13010726,KWWN000072,Wastewater,9.49,9.86,1.59,11.08,11.45,WWMH,,INUS,Otaki,OSM00391,1977
1782990.218,5485311.2315,13010727,KWWN000669,Wastewater,32.87,33.25,1.75,34.63,35,WWMH,,INUS,Otaki,OSM00498,1978
1779121.636,5487957.3755,13010728,KWWN000204,Wastewater,4.36,4.73,1.33,5.69,6.06,WWMH,,INUS,Otaki,OSM00130,1978
1782408.267,5485554.2725,13010729,KWWN000783,Wastewater,11.19,11.57,2.58,13.78,14.15,WWMH,,INUS,Otaki,OSM00494,1978
