OBJECTID,us_node_id,ds_node_id,asset_id,system_type,pipe_type,pipe_material,pipe_class,width,length,location,status,kcdc_histo_id,year_installed,GlobalID,SHAPE_Length
13253961,KWWN000819,KWWN000812,KWWP000423,Wastewater,WWMN,PVC,,150,37.62443877,Otaki,INUS,OSG00485,1980,{27ECC670-ACC7-437D-A001-99B0B8E75AF3},37.6237671292289
13253962,KWWN000800,KWWN011664,KWWP007668,Wastewater,WWMN,UPVC,,150,29.20462528,Otaki,INUS,,2022,{281AC95D-400E-498A-BCCF-170BA924CFD5},29.2043013615791
13253963,KWWN000984,KWWN000987,KWWP003876,Wastewater,WWMN,AC,,150,4.99837156,Waikanae,INUS,WSG01212,1979,{291FE473-8784-44ED-AD6F-9BA8EE13D2D5},4.99757671285773
13253964,KWWN000541,KWWN000538,KWWP003834,Wastewater,WWMN,AC,,150,27.35857518,Waikanae,INUS,WSG01162,1979,{2945029E-1F80-4DAD-907E-9544953328FA},27.3585100651098
13253965,KWWN000360,KWWN006449,KWWP005847,Wastewater,WWMN,AC,,150,19.26792603,Otaki,INUS,OSG008462,1980,{29875906-2A94-4A2C-966F-654C39B05F6B},19.2678073477704
13253966,KWWN000553,KWWN000615,KWWP000598,Wastewater,WWMN,AC,,100,37.9754188,Otaki,INUS,OSG00240,1980,{2A0BB0C0-8A6B-4783-832F-CE5CDF9FC3B3},37.9759402780463
13253967,KWWN000609,KWWN000203,KWWP000053,Wastewater,WWMN,AC,,150,84.32121763,Otaki,INUS,OSG00058,1980,{2A16681E-4E1F-4106-BF70-0F111407473F},84.3216159238267
13253968,KWWN000555,KWWN000556,KWWP005199,Wastewater,WWMN,AC,,150,41.51594459,Otaki,INUS,OSG00230,1980,{2AD54E9B-588F-490C-9D5B-6E84781C848B},41.5157209980094
13253969,KWWN000722,KWWN000723,KWWP000285,Wastewater,WWMN,PVC,,150,75.87159138,Otaki,INUS,OSG00373,1980,{2B47CA3E-D9DA-4F7B-BFC2-9DC06A67F22F},75.8716563941826
13253970,KWWN000744,KWWN000783,KWWP000269,Wastewater,WWMN,AC,,225,78.50404781,Otaki,INUS,OSG00356,1980,{2B7388BE-B54C-4A7E-B03F-9AB940785410},78.5038967504086
13253971,KWWN000286,KWWN000285,KWWP004401,Wastewater,WWMN,AC,,150,32.93128691,Otaki,INUS,OSG00779,1980,{2B9DD767-97A9-4C81-BBFE-00D9A8FBBC95},32.9321431128726
13253972,KWWN000014,KWWN004587,KWWP004184,Wastewater,WWMN,AC,,300,31.08232586,Otaki,INUS,OSG00522,1980,{2BD00DA0-1EA4-42A2-AF50-E1FE4720F94B},31.0832584038262
13253973,KWWN000586,KWWN000585,KWWP000162,Wastewater,WWMN,AC,,150,101.5245907,Otaki,INUS,OSG00176,1980,{2C68FD78-0A45-40B8-BDA8-85CECB43F7D2},101.525005515396
13253974,KWWN000019,KWWN000018,KWWP006036,Wastewater,WWMN,AC,,150,43.17660973,Otaki,INUS,OSG00540,1980,{2CEA8370-AA6C-4230-96C8-96EF1AEEDD1C},43.176459615578
