Geo Point;Geo Shape;NUMERO;TYPE;TYPE_TAMPON;ZSURF;Z_FE_ENTREE1
47.4877389652, -0.5272516896;"{""coordinates"": [-0.5272516896, 47.4877389652], ""type"": ""Point""}";2074830;SIMPLE;ROND;46.52;45.65
47.4726738845, -0.5426498813;"{""coordinates"": [-0.5426498813, 47.4726738845], ""type"": ""Point""}";2074790;SIMPLE;ROND;34.91;32.67
47.4733787786, -0.5421638651;"{""coordinates"": [-0.5421638651, 47.4733787786], ""type"": ""Point""}";2074774;SIMPLE;ROND;34.13;31.23
47.4733705345, -0.5420070083;"{""coordinates"": [-0.5420070083, 47.4733705345], ""type"": ""Point""}";2074772;SIMPLE;CARRE;34.43;33.42
47.4733787952, -0.54187861;"{""coordinates"": [-0.54187861, 47.4733787952], ""type"": ""Point""}";2074770;SIMPLE;CARRE;35.06;34.27
47.4733857369, -0.5417814645;"{""coordinates"": [-0.5417814645, 47.4733857369], ""type"": ""Point""}";2074768;SIMPLE;CARRE;34.84;33.99
47.4734004375, -0.5415634568;"{""coordinates"": [-0.5415634568, 47.4734004375], ""type"": ""Point""}";2074766;SIMPLE;CARRE;35.13;34.22
47.4734113174, -0.5413907448;"{""coordinates"": [-0.5413907448, 47.4734113174], ""type"": ""Point""}";2074764;SIMPLE;CARRE;35.47;34.55
47.473419884, -0.5412640931;"{""coordinates"": [-0.5412640931, 47.473419884], ""type"": ""Point""}";2074762;SIMPLE;CARRE;35.64;34.72
47.473438007, -0.5409961147;"{""coordinates"": [-0.5409961147, 47.473438007], ""type"": ""Point""}";2074760;SIMPLE;CARRE;36.09;35.21
47.4734518423, -0.5407915947;"{""coordinates"": [-0.5407915947, 47.4734518423], ""type"": ""Point""}";2074758;SIMPLE;CARRE;36.39;35.48
47.4734702044, -0.5405187184;"{""coordinates"": [-0.5405187184, 47.4734702044], ""type"": ""Point""}";2074756;SIMPLE;CARRE;36.82;35.92
47.4734725664, -0.5404739892;"{""coordinates"": [-0.5404739892, 47.4734725664], ""type"": ""Point""}";2074754;SIMPLE;CARRE;36.83;35.95
47.4734843975, -0.5403083787;"{""coordinates"": [-0.5403083787, 47.4734843975], ""type"": ""Point""}";2074752;SIMPLE;CARRE;37.08;36.22
47.4734940207, -0.5401560338;"{""coordinates"": [-0.5401560338, 47.4734940207], ""type"": ""Point""}";2074748;SIMPLE;CARRE;37.38;36.42
47.4735025684, -0.5400475743;"{""coordinates"": [-0.5400475743, 47.4735025684], ""type"": ""Point""}";2074744;SIMPLE;CARRE;37.46;36.61
47.4735062391, -0.5398367983;"{""coordinates"": [-0.5398367983, 47.4735062391], ""type"": ""Point""}";2074743;SIMPLE;CARRE;37.75;36.91
47.4803186918, -0.5450592198;"{""coordinates"": [-0.5450592198, 47.4803186918], ""type"": ""Point""}";2074698;SIMPLE;ROND;20.99;
47.4405639432, -0.5026230375;"{""coordinates"": [-0.5026230375, 47.4405639432], ""type"": ""Point""}";2074665;SIMPLE;ROND;23.76;21.21
47.500779128, -0.3817477239;"{""coordinates"": [-0.3817477239, 47.500779128], ""type"": ""Point""}";2074640;SIMPLE;GRILLE;34.11;33.27
47.5008705758, -0.3821084155;"{""coordinates"": [-0.3821084155, 47.5008705758], ""type"": ""Point""}";2074638;SIMPLE;GRILLE;34.31;33.58
47.5006692761, -0.3812836935;"{""coordinates"": [-0.3812836935, 47.5006692761], ""type"": ""Point""}";2074620;SIMPLE;GRILLE;33.95;32.88
47.5006848913, -0.3813561658;"{""coordinates"": [-0.3813561658, 47.5006848913], ""type"": ""Point""}";2074617;SIMPLE;GRILLE;33.93;32.91
47.5007037291, -0.3811062664;"{""coordinates"": [-0.3811062664, 47.5007037291], ""type"": ""Point""}";2074613;SIMPLE;GRILLE;34.2;33.3
47.5006671649, -0.3809405221;"{""coordinates"": [-0.3809405221, 47.5006671649], ""type"": ""Point""}";2074611;SIMPLE;GRILLE;34.39;33.42
47.5004845625, -0.3805288546;"{""coordinates"": [-0.3805288546, 47.5004845625], ""type"": ""Point""}";2074588;SIMPLE;GRILLE;34.32;33.52
47.5006260013, -0.3805196654;"{""coordinates"": [-0.3805196654, 47.5006260013], ""type"": ""Point""}";2074586;SIMPLE;ROND;34.72;33.87
47.5006345019, -0.3808045208;"{""coordinates"": [-0.3808045208, 47.5006345019], ""type"": ""Point""}";2074580;SIMPLE;GRILLE;34.43;33.56
47.5007553932, -0.381328242;"{""coordinates"": [-0.381328242, 47.5007553932], ""type"": ""Point""}";2074579;SIMPLE;ROND;34.21;33.28
47.5008482083, -0.3817222342;"{""coordinates"": [-0.3817222342, 47.5008482083], ""type"": ""Point""}";2074578;SIMPLE;GRILLE;34.36;
47.5009836597, -0.3822589781;"{""coordinates"": [-0.3822589781, 47.5009836597], ""type"": ""Point""}";2074577;SIMPLE;GRILLE;34.74;33.56
47.5011391372, -0.382778933;"{""coordinates"": [-0.382778933, 47.5011391372], ""type"": ""Point""}";2074571;SIMPLE;GRILLE;35.27;34.46
47.5013053886, -0.3833459459;"{""coordinates"": [-0.3833459459, 47.5013053886], ""type"": ""Point""}";2074570;SIMPLE;GRILLE;36.66;35.65
47.4799154877, -0.5439386689;"{""coordinates"": [-0.5439386689, 47.4799154877], ""type"": ""Point""}";2074546;SIMPLE;ROND;20.43;
47.4805315899, -0.5433768122;"{""coordinates"": [-0.5433768122, 47.4805315899], ""type"": ""Point""}";2074542;SIMPLE;ROND;20.31;
47.4806471817, -0.5448620103;"{""coordinates"": [-0.5448620103, 47.4806471817], ""type"": ""Point""}";2074537;SIMPLE;ROND;21.21;16.82
47.4813633006, -0.5429834079;"{""coordinates"": [-0.5429834079, 47.4813633006], ""type"": ""Point""}";2074522;SIMPLE;ROND;20.83;17.02
47.4818609853, -0.5430910136;"{""coordinates"": [-0.5430910136, 47.4818609853], ""type"": ""Point""}";2074514;SIMPLE;ROND;20.96;19.38
47.4815567103, -0.5440191775;"{""coordinates"": [-0.5440191775, 47.4815567103], ""type"": ""Point""}";2074501;SIMPLE;ROND;20.43;15.1
47.4794011598, -0.5489116298;"{""coordinates"": [-0.5489116298, 47.4794011598], ""type"": ""Point""}";2074485;SIMPLE;ROND;;
47.4793360097, -0.548423955;"{""coordinates"": [-0.548423955, 47.4793360097], ""type"": ""Point""}";2074483;SIMPLE;CARRE;20.41;20.05
47.4794529757, -0.5487373861;"{""coordinates"": [-0.5487373861, 47.4794529757], ""type"": ""Point""}";2074481;SIMPLE;ROND;20.98;19.9
47.4794869657, -0.5485923653;"{""coordinates"": [-0.5485923653, 47.4794869657], ""type"": ""Point""}";2074480;SIMPLE;GRILLE;20.41;20.05
47.48196884, -0.543807486;"{""coordinates"": [-0.543807486, 47.48196884], ""type"": ""Point""}";2074478;SIMPLE;ROND;20.82;17.4
47.4818004842, -0.5437217309;"{""coordinates"": [-0.5437217309, 47.4818004842], ""type"": ""Point""}";2074474;SIMPLE;ROND;20.88;14.72
47.4714777394, -0.5638546127;"{""coordinates"": [-0.5638546127, 47.4714777394], ""type"": ""Point""}";2074440;SIMPLE;ROND;18;16.56
47.44110065, -0.7059509904;"{""coordinates"": [-0.7059509904, 47.44110065], ""type"": ""Point""}";2074408;SIMPLE;ROND;62.45;61.95
47.4585461379, -0.388551538;"{""coordinates"": [-0.388551538, 47.4585461379], ""type"": ""Point""}";2074402;SIMPLE;ROND;20.39;19.54
47.4590225165, -0.3895202412;"{""coordinates"": [-0.3895202412, 47.4590225165], ""type"": ""Point""}";2074391;SIMPLE;ROND;22.89;21.16
47.5689759796, -0.4178193745;"{""coordinates"": [-0.4178193745, 47.5689759796], ""type"": ""Point""}";2074385;SIMPLE;ROND;;
47.5688873646, -0.4172563929;"{""coordinates"": [-0.4172563929, 47.5688873646], ""type"": ""Point""}";2074384;SIMPLE;ROND;;
47.4591047635, -0.38940827;"{""coordinates"": [-0.38940827, 47.4591047635], ""type"": ""Point""}";2074378;SIMPLE;ROND;22.83;21.08
47.3647299414, -0.5289012713;"{""coordinates"": [-0.5289012713, 47.3647299414], ""type"": ""Point""}";2074301;SIMPLE;GRILLE;67.83;67.25
47.3647566745, -0.5297423501;"{""coordinates"": [-0.5297423501, 47.3647566745], ""type"": ""Point""}";2074300;SIMPLE;GRILLE;67.83;67.25
47.4595546562, -0.3897273238;"{""coordinates"": [-0.3897273238, 47.4595546562], ""type"": ""Point""}";2074241;SIMPLE;ROND;23.43;21.47
47.4592363829, -0.3892184701;"{""coordinates"": [-0.3892184701, 47.4592363829], ""type"": ""Point""}";2074239;SIMPLE;ROND;22.96;21.24
47.4595066379, -0.3889586618;"{""coordinates"": [-0.3889586618, 47.4595066379], ""type"": ""Point""}";2074231;SIMPLE;ROND;23.44;21.62
47.4594815161, -0.3886980541;"{""coordinates"": [-0.3886980541, 47.4594815161], ""type"": ""Point""}";2074227;SIMPLE;ROND;23.25;21.89
47.4594464297, -0.3888750335;"{""coordinates"": [-0.3888750335, 47.4594464297], ""type"": ""Point""}";2074225;SIMPLE;ROND;23.15;21.39
47.4596047877, -0.3886484387;"{""coordinates"": [-0.3886484387, 47.4596047877], ""type"": ""Point""}";2074221;SIMPLE;ROND;23.32;21.56
47.4597282464, -0.3887427415;"{""coordinates"": [-0.3887427415, 47.4597282464], ""type"": ""Point""}";2074219;SIMPLE;ROND;23.33;21.63
47.4597509187, -0.3887064861;"{""coordinates"": [-0.3887064861, 47.4597509187], ""type"": ""Point""}";2074217;SIMPLE;ROND;23.48;21.73
47.4598867925, -0.3885219984;"{""coordinates"": [-0.3885219984, 47.4598867925], ""type"": ""Point""}";2074216;SIMPLE;GRILLE;22.82;22.35
47.4575288731, -0.3924835853;"{""coordinates"": [-0.3924835853, 47.4575288731], ""type"": ""Point""}";2074214;SIMPLE;ROND;20.3;18.04
47.4578359912, -0.3918397191;"{""coordinates"": [-0.3918397191, 47.4578359912], ""type"": ""Point""}";2074193;SIMPLE;ROND;20.24;18.9
47.4580615816, -0.3915773431;"{""coordinates"": [-0.3915773431, 47.4580615816], ""type"": ""Point""}";2074191;SIMPLE;ROND;20.61;19.08
47.4583556987, -0.3913145627;"{""coordinates"": [-0.3913145627, 47.4583556987], ""type"": ""Point""}";2074185;SIMPLE;ROND;21.12;19.54
47.4586602155, -0.3910471335;"{""coordinates"": [-0.3910471335, 47.4586602155], ""type"": ""Point""}";2074181;SIMPLE;ROND;21.79;20.09
47.4589567114, -0.3907891455;"{""coordinates"": [-0.3907891455, 47.4589567114], ""type"": ""Point""}";2074179;SIMPLE;ROND;22.17;20.84
47.4592426001, -0.3905428236;"{""coordinates"": [-0.3905428236, 47.4592426001], ""type"": ""Point""}";2074175;SIMPLE;ROND;22.67;21.72
47.45971632, -0.3900964821;"{""coordinates"": [-0.3900964821, 47.45971632], ""type"": ""Point""}";2074169;SIMPLE;ROND;23.38;22.2
47.4598572614, -0.3899265264;"{""coordinates"": [-0.3899265264, 47.4598572614], ""type"": ""Point""}";2074165;SIMPLE;CARRE;23.4;22.26
47.4600986712, -0.3896004903;"{""coordinates"": [-0.3896004903, 47.4600986712], ""type"": ""Point""}";2074159;SIMPLE;CARRE;23.48;22.58
47.4601944548, -0.3894751762;"{""coordinates"": [-0.3894751762, 47.4601944548], ""type"": ""Point""}";2074153;SIMPLE;CARRE;23.53;22.69
47.4603413116, -0.389281566;"{""coordinates"": [-0.389281566, 47.4603413116], ""type"": ""Point""}";2074143;SIMPLE;CARRE;23.46;22.8
47.4605049028, -0.3890607456;"{""coordinates"": [-0.3890607456, 47.4605049028], ""type"": ""Point""}";2074139;SIMPLE;ROND;23.61;22.79
47.4584976258, -0.3903172324;"{""coordinates"": [-0.3903172324, 47.4584976258], ""type"": ""Point""}";2074060;SIMPLE;ROND;22.28;20.25
47.4583253933, -0.3904704492;"{""coordinates"": [-0.3904704492, 47.4583253933], ""type"": ""Point""}";2074058;SIMPLE;ROND;22.04;20.04
47.4576841773, -0.3912059622;"{""coordinates"": [-0.3912059622, 47.4576841773], ""type"": ""Point""}";2074057;SIMPLE;ROND;19.6;18.1
47.4576806842, -0.3913830935;"{""coordinates"": [-0.3913830935, 47.4576806842], ""type"": ""Point""}";2074054;SIMPLE;CARRE;20.01;19.28
47.4577054855, -0.3914797268;"{""coordinates"": [-0.3914797268, 47.4577054855], ""type"": ""Point""}";2074045;SIMPLE;ROND;20.37;19.34
47.4578260367, -0.3915901756;"{""coordinates"": [-0.3915901756, 47.4578260367], ""type"": ""Point""}";2074043;SIMPLE;ROND;20.54;19.5
47.4579857847, -0.3914482467;"{""coordinates"": [-0.3914482467, 47.4579857847], ""type"": ""Point""}";2074041;SIMPLE;ROND;20.74;19.78
47.4584231409, -0.39107527;"{""coordinates"": [-0.39107527, 47.4584231409], ""type"": ""Point""}";2074039;SIMPLE;ROND;21.53;20.39
47.4584680923, -0.3910376514;"{""coordinates"": [-0.3910376514, 47.4584680923], ""type"": ""Point""}";2074037;SIMPLE;ROND;21.64;20.6
47.4585283152, -0.3909858743;"{""coordinates"": [-0.3909858743, 47.4585283152], ""type"": ""Point""}";2074035;SIMPLE;ROND;21.71;20.79
47.4590606299, -0.3905187249;"{""coordinates"": [-0.3905187249, 47.4590606299], ""type"": ""Point""}";2074033;SIMPLE;ROND;22.53;21.47
47.4593397431, -0.3902731631;"{""coordinates"": [-0.3902731631, 47.4593397431], ""type"": ""Point""}";2074031;SIMPLE;ROND;22.84;21.89
47.459448639, -0.3901735143;"{""coordinates"": [-0.3901735143, 47.459448639], ""type"": ""Point""}";2074029;SIMPLE;ROND;23.07;22.22
47.4596350964, -0.389983499;"{""coordinates"": [-0.389983499, 47.4596350964], ""type"": ""Point""}";2074027;SIMPLE;ROND;23.34;22.31
47.4597604734, -0.3898284802;"{""coordinates"": [-0.3898284802, 47.4597604734], ""type"": ""Point""}";2074025;SIMPLE;CARRE;23.5;22.5
47.4600059502, -0.3895019074;"{""coordinates"": [-0.3895019074, 47.4600059502], ""type"": ""Point""}";2074023;SIMPLE;CARRE;23.62;22.82
47.4603549593, -0.3890375008;"{""coordinates"": [-0.3890375008, 47.4603549593], ""type"": ""Point""}";2074021;SIMPLE;CARRE;23.59;22.94
47.4605101471, -0.3888268966;"{""coordinates"": [-0.3888268966, 47.4605101471], ""type"": ""Point""}";2074019;SIMPLE;CARRE;23.64;22.97
47.460624887, -0.3886692024;"{""coordinates"": [-0.3886692024, 47.460624887], ""type"": ""Point""}";2074017;SIMPLE;CARRE;23.64;22.91
47.4607854924, -0.3884519057;"{""coordinates"": [-0.3884519057, 47.4607854924], ""type"": ""Point""}";2074012;SIMPLE;CARRE;23.61;22.89
47.4608588554, -0.3883542312;"{""coordinates"": [-0.3883542312, 47.4608588554], ""type"": ""Point""}";2074009;SIMPLE;ROND;23.92;22.89
47.4610699396, -0.388073509;"{""coordinates"": [-0.388073509, 47.4610699396], ""type"": ""Point""}";2074005;SIMPLE;ROND;24.08;23.08
47.461242042, -0.3878233543;"{""coordinates"": [-0.3878233543, 47.461242042], ""type"": ""Point""}";2074000;SIMPLE;CARRE;23.9;23.3
47.4659540909, -0.383590327;"{""coordinates"": [-0.383590327, 47.4659540909], ""type"": ""Point""}";2073943;SIMPLE;ROND;20.85;19.59
47.4657715476, -0.3837577997;"{""coordinates"": [-0.3837577997, 47.4657715476], ""type"": ""Point""}";2073941;SIMPLE;CARRE;20.82;19.91
47.4653956107, -0.3841188693;"{""coordinates"": [-0.3841188693, 47.4653956107], ""type"": ""Point""}";2073939;SIMPLE;ROND;21;19.98
47.4652909555, -0.3842184134;"{""coordinates"": [-0.3842184134, 47.4652909555], ""type"": ""Point""}";2073937;SIMPLE;ROND;21.17;20.04
47.464830413, -0.3846553368;"{""coordinates"": [-0.3846553368, 47.464830413], ""type"": ""Point""}";2073935;SIMPLE;CARRE;21.36;20.22
47.464699615, -0.3847805622;"{""coordinates"": [-0.3847805622, 47.464699615], ""type"": ""Point""}";2073933;SIMPLE;CARRE;21.3;20.4
47.4646371339, -0.3848388466;"{""coordinates"": [-0.3848388466, 47.4646371339], ""type"": ""Point""}";2073931;SIMPLE;ROND;21.6;20.6
47.4643179108, -0.3851355408;"{""coordinates"": [-0.3851355408, 47.4643179108], ""type"": ""Point""}";2073929;SIMPLE;ROND;21.97;20.99
47.4642797683, -0.3851774528;"{""coordinates"": [-0.3851774528, 47.4642797683], ""type"": ""Point""}";2073927;SIMPLE;ROND;22.03;21.26
47.4640957119, -0.3853534482;"{""coordinates"": [-0.3853534482, 47.4640957119], ""type"": ""Point""}";2073925;SIMPLE;CARRE;22.1;21.45
47.4640715222, -0.3853739449;"{""coordinates"": [-0.3853739449, 47.4640715222], ""type"": ""Point""}";2073923;SIMPLE;ROND;22.1;21.46
47.4638121192, -0.385617093;"{""coordinates"": [-0.385617093, 47.4638121192], ""type"": ""Point""}";2073921;SIMPLE;ROND;22.34;21.54
47.4637526887, -0.3856726492;"{""coordinates"": [-0.3856726492, 47.4637526887], ""type"": ""Point""}";2073919;SIMPLE;CARRE;22.37;21.57
47.4635866488, -0.385832929;"{""coordinates"": [-0.385832929, 47.4635866488], ""type"": ""Point""}";2073917;SIMPLE;ROND;22.65;21.73
47.4631609148, -0.3862339417;"{""coordinates"": [-0.3862339417, 47.4631609148], ""type"": ""Point""}";2073915;SIMPLE;ROND;23.1;22
47.4627848057, -0.3865944346;"{""coordinates"": [-0.3865944346, 47.4627848057], ""type"": ""Point""}";2073913;SIMPLE;ROND;23.35;22.17
47.4624703913, -0.3868896891;"{""coordinates"": [-0.3868896891, 47.4624703913], ""type"": ""Point""}";2073911;SIMPLE;ROND;23.52;22.47
47.4622313588, -0.3871196512;"{""coordinates"": [-0.3871196512, 47.4622313588], ""type"": ""Point""}";2073909;SIMPLE;ROND;23.65;22.62
47.4622305551, -0.3872084173;"{""coordinates"": [-0.3872084173, 47.4622305551], ""type"": ""Point""}";2073893;SIMPLE;ROND;23.51;22.71
47.4621429999, -0.3872620431;"{""coordinates"": [-0.3872620431, 47.4621429999], ""type"": ""Point""}";2073879;SIMPLE;ROND;23.47;22.74
47.4620631207, -0.387278056;"{""coordinates"": [-0.387278056, 47.4620631207], ""type"": ""Point""}";2073877;SIMPLE;CARRE;23.72;22.82
47.4618772482, -0.3874544521;"{""coordinates"": [-0.3874544521, 47.4618772482], ""type"": ""Point""}";2073875;SIMPLE;ROND;23.83;22.78
47.4617882473, -0.3876463211;"{""coordinates"": [-0.3876463211, 47.4617882473], ""type"": ""Point""}";2073873;SIMPLE;ROND;23.69;22.66
47.461692833, -0.3876333297;"{""coordinates"": [-0.3876333297, 47.461692833], ""type"": ""Point""}";2073864;SIMPLE;ROND;23.84;22.64
47.4614152481, -0.3878975996;"{""coordinates"": [-0.3878975996, 47.4614152481], ""type"": ""Point""}";2073863;SIMPLE;ROND;23.95;22.58
47.4614159294, -0.387684166;"{""coordinates"": [-0.387684166, 47.4614159294], ""type"": ""Point""}";2073848;SIMPLE;ROND;24.02;22.92
47.4617375061, -0.3873780943;"{""coordinates"": [-0.3873780943, 47.4617375061], ""type"": ""Point""}";2073844;SIMPLE;ROND;23.79;22.73
47.4618016334, -0.3873189917;"{""coordinates"": [-0.3873189917, 47.4618016334], ""type"": ""Point""}";2073838;SIMPLE;ROND;23.78;22.7
47.4619939868, -0.3871365035;"{""coordinates"": [-0.3871365035, 47.4619939868], ""type"": ""Point""}";2073832;SIMPLE;ROND;23.67;22.64
47.4621057353, -0.3870315822;"{""coordinates"": [-0.3870315822, 47.4621057353], ""type"": ""Point""}";2073828;SIMPLE;ROND;23.68;22.62
47.4623185324, -0.3868365889;"{""coordinates"": [-0.3868365889, 47.4623185324], ""type"": ""Point""}";2073817;SIMPLE;ROND;23.65;22.67
47.4624599315, -0.3867030224;"{""coordinates"": [-0.3867030224, 47.4624599315], ""type"": ""Point""}";2073811;SIMPLE;ROND;23.51;22.61
47.4628272171, -0.3863579013;"{""coordinates"": [-0.3863579013, 47.4628272171], ""type"": ""Point""}";2073806;SIMPLE;ROND;23.27;22.31
47.4630381634, -0.3861522963;"{""coordinates"": [-0.3861522963, 47.4630381634], ""type"": ""Point""}";2073802;SIMPLE;CARRE;23.11;22.26
47.4630754945, -0.3861165741;"{""coordinates"": [-0.3861165741, 47.4630754945], ""type"": ""Point""}";2073796;SIMPLE;CARRE;23.04;22.23
47.4633000246, -0.3859051954;"{""coordinates"": [-0.3859051954, 47.4633000246], ""type"": ""Point""}";2073792;SIMPLE;ROND;22.84;22.04
47.4634230415, -0.3857843921;"{""coordinates"": [-0.3857843921, 47.4634230415], ""type"": ""Point""}";2073782;SIMPLE;ROND;22.85;22
47.4635179125, -0.3856961793;"{""coordinates"": [-0.3856961793, 47.4635179125], ""type"": ""Point""}";2073780;SIMPLE;ROND;22.79;21.99
47.4636706356, -0.3855540355;"{""coordinates"": [-0.3855540355, 47.4636706356], ""type"": ""Point""}";2073778;SIMPLE;ROND;22.49;21.61
47.4638989496, -0.3853363879;"{""coordinates"": [-0.3853363879, 47.4638989496], ""type"": ""Point""}";2073776;SIMPLE;ROND;22.28;21.4
47.4639444606, -0.3852918925;"{""coordinates"": [-0.3852918925, 47.4639444606], ""type"": ""Point""}";2073774;SIMPLE;CARRE;22.22;21.3
47.4640534331, -0.3851863883;"{""coordinates"": [-0.3851863883, 47.4640534331], ""type"": ""Point""}";2073772;SIMPLE;ROND;22.18;21.13
47.4642032489, -0.3850451184;"{""coordinates"": [-0.3850451184, 47.4642032489], ""type"": ""Point""}";2073762;SIMPLE;ROND;22;20.8
47.4646924671, -0.3845821504;"{""coordinates"": [-0.3845821504, 47.4646924671], ""type"": ""Point""}";2073756;SIMPLE;ROND;21.77;20.7
47.4651674629, -0.3841282251;"{""coordinates"": [-0.3841282251, 47.4651674629], ""type"": ""Point""}";2073750;SIMPLE;ROND;21.08;20.25
47.4653309696, -0.3839744123;"{""coordinates"": [-0.3839744123, 47.4653309696], ""type"": ""Point""}";2073746;SIMPLE;ROND;21.01;20.11
47.4656305929, -0.383685883;"{""coordinates"": [-0.383685883, 47.4656305929], ""type"": ""Point""}";2073742;SIMPLE;ROND;20.91;19.83
47.4657792507, -0.3835471864;"{""coordinates"": [-0.3835471864, 47.4657792507], ""type"": ""Point""}";2073736;SIMPLE;ROND;20.75;19.6
47.4659260799, -0.3834094346;"{""coordinates"": [-0.3834094346, 47.4659260799], ""type"": ""Point""}";2073732;SIMPLE;ROND;20.86;19.51
47.4660520304, -0.3832345035;"{""coordinates"": [-0.3832345035, 47.4660520304], ""type"": ""Point""}";2073727;SIMPLE;ROND;20.79;19.41
47.466181072, -0.3831292077;"{""coordinates"": [-0.3831292077, 47.466181072], ""type"": ""Point""}";2073723;SIMPLE;ROND;20.61;19.23
47.4663048303, -0.3829983483;"{""coordinates"": [-0.3829983483, 47.4663048303], ""type"": ""Point""}";2073721;SIMPLE;ROND;20.73;19.23
47.4663163419, -0.3828543611;"{""coordinates"": [-0.3828543611, 47.4663163419], ""type"": ""Point""}";2073719;SIMPLE;ROND;20.63;19.21
47.5399006463, -0.5700673098;"{""coordinates"": [-0.5700673098, 47.5399006463], ""type"": ""Point""}";2073702;SIMPLE;ROND;29.91;29.21
47.5396793144, -0.5699540071;"{""coordinates"": [-0.5699540071, 47.5396793144], ""type"": ""Point""}";2073697;SIMPLE;CARRE;30.01;29.37
47.5395726588, -0.5699001526;"{""coordinates"": [-0.5699001526, 47.5395726588], ""type"": ""Point""}";2073695;SIMPLE;ROND;30.19;29.44
47.5393838154, -0.5698048622;"{""coordinates"": [-0.5698048622, 47.5393838154], ""type"": ""Point""}";2073689;SIMPLE;CARRE;30.36;29.62
47.5391327674, -0.5696770618;"{""coordinates"": [-0.5696770618, 47.5391327674], ""type"": ""Point""}";2073686;SIMPLE;CARRE;30.57;30.07
47.5399894365, -0.5700465625;"{""coordinates"": [-0.5700465625, 47.5399894365], ""type"": ""Point""}";2073677;SIMPLE;ROND;29.86;29
47.5399225004, -0.5703567938;"{""coordinates"": [-0.5703567938, 47.5399225004], ""type"": ""Point""}";2073676;SIMPLE;ROND;30.03;29.2
47.5398854598, -0.5702004533;"{""coordinates"": [-0.5702004533, 47.5398854598], ""type"": ""Point""}";2073669;SIMPLE;ROND;29.17;28.25
47.5398600942, -0.5701413022;"{""coordinates"": [-0.5701413022, 47.5398600942], ""type"": ""Point""}";2073667;SIMPLE;ROND;29.9;29.19
47.5395384206, -0.5699796226;"{""coordinates"": [-0.5699796226, 47.5395384206], ""type"": ""Point""}";2073665;SIMPLE;ROND;30.15;29.25
47.5395210836, -0.5700132928;"{""coordinates"": [-0.5700132928, 47.5395210836], ""type"": ""Point""}";2073663;SIMPLE;ROND;30.35;29.24
47.5393108273, -0.5699087151;"{""coordinates"": [-0.5699087151, 47.5393108273], ""type"": ""Point""}";2073661;SIMPLE;ROND;30.4;29.48
47.5401151073, -0.5696129005;"{""coordinates"": [-0.5696129005, 47.5401151073], ""type"": ""Point""}";2073627;SIMPLE;ROND;29.52;27.4
47.5399802326, -0.5702279783;"{""coordinates"": [-0.5702279783, 47.5399802326], ""type"": ""Point""}";2073625;SIMPLE;ROND;29.87;27.42
47.5398843645, -0.5707956841;"{""coordinates"": [-0.5707956841, 47.5398843645], ""type"": ""Point""}";2073623;SIMPLE;ROND;29.56;27.48
47.5401994021, -0.5695336087;"{""coordinates"": [-0.5695336087, 47.5401994021], ""type"": ""Point""}";2073617;SIMPLE;ROND;29.39;27.37
47.5400429011, -0.5702337946;"{""coordinates"": [-0.5702337946, 47.5400429011], ""type"": ""Point""}";2073615;SIMPLE;ROND;29.74;27.74
47.5399893091, -0.5704938643;"{""coordinates"": [-0.5704938643, 47.5399893091], ""type"": ""Point""}";2073613;SIMPLE;ROND;29.71;27.94
47.4943870092, -0.4984120487;"{""coordinates"": [-0.4984120487, 47.4943870092], ""type"": ""Point""}";2073577;SIMPLE;ROND;39.9;37.45
47.4957779514, -0.4958114871;"{""coordinates"": [-0.4958114871, 47.4957779514], ""type"": ""Point""}";2073557;SIMPLE;ROND;37.49;35.99
47.496001254, -0.4953827337;"{""coordinates"": [-0.4953827337, 47.496001254], ""type"": ""Point""}";2073555;SIMPLE;ROND;36.8;
47.4962167413, -0.4949682088;"{""coordinates"": [-0.4949682088, 47.4962167413], ""type"": ""Point""}";2073554;SIMPLE;ROND;36.21;
47.4963885665, -0.4946367619;"{""coordinates"": [-0.4946367619, 47.4963885665], ""type"": ""Point""}";2073533;SIMPLE;ROND;35.79;33.89
47.4961290966, -0.4939813078;"{""coordinates"": [-0.4939813078, 47.4961290966], ""type"": ""Point""}";2073531;SIMPLE;ROND;34.69;33.44
47.4962940901, -0.4936136707;"{""coordinates"": [-0.4936136707, 47.4962940901], ""type"": ""Point""}";2073529;SIMPLE;ROND;34.22;33.22
47.4973005769, -0.4923734304;"{""coordinates"": [-0.4923734304, 47.4973005769], ""type"": ""Point""}";2073524;SIMPLE;ROND;32.56;31
47.4973873303, -0.4926637208;"{""coordinates"": [-0.4926637208, 47.4973873303], ""type"": ""Point""}";2073522;SIMPLE;ROND;32.95;31.18
47.4968806273, -0.4936900236;"{""coordinates"": [-0.4936900236, 47.4968806273], ""type"": ""Point""}";2073517;SIMPLE;ROND;34.79;32.99
47.4965507408, -0.4943296541;"{""coordinates"": [-0.4943296541, 47.4965507408], ""type"": ""Point""}";2073514;SIMPLE;ROND;35.45;33.88
47.4964837683, -0.494245796;"{""coordinates"": [-0.494245796, 47.4964837683], ""type"": ""Point""}";2073512;SIMPLE;RECTANGULAIRE;35.31;34.09
47.5010296834, -0.4939508982;"{""coordinates"": [-0.4939508982, 47.5010296834], ""type"": ""Point""}";2073502;SIMPLE;ROND;24.99;23.23
47.3655547948, -0.5212054802;"{""coordinates"": [-0.5212054802, 47.3655547948], ""type"": ""Point""}";2073499;SIMPLE;ROND;;
