Geo Point;Geo Shape;NUMERO;TYPE;TYPE_RES;DIAMETRE;MATERIAU;LONGUEUR;ZAMONT;ZAVAL
47.496071505, -0.431300195;"{""coordinates"": [[-0.43098095, 47.49610939], [-0.43161944, 47.49603362]], ""type"": ""LineString""}";1065196;C;CANALISATION;400;NC;48.85;34.7;34.5
47.49649676500001, -0.43276899;"{""coordinates"": [[-0.43268922, 47.49651737], [-0.43284876, 47.49647616]], ""type"": ""LineString""}";1065197;C;CANALISATION;800;BETON;12.86;31.76;31.7
47.496467545, -0.43314173999999994;"{""coordinates"": [[-0.43284876, 47.49647616], [-0.43343472, 47.49645893]], ""type"": ""LineString""}";1065198;C;CANALISATION;1000;BETON;44.2;31.7;0
47.496677915, -0.43595047000000003;"{""coordinates"": [[-0.43593171, 47.49667541], [-0.43596923, 47.49668042]], ""type"": ""LineString""}";1065199;C;CANALISATION;0;NC;2.88;0;31.31
47.49639872, -0.43596559999999995;"{""coordinates"": [[-0.43596923, 47.49668042], [-0.43596197, 47.49611702]], ""type"": ""LineString""}";1065200;C;CANALISATION;500;NC;62.64;31.31;32.2
47.496171950000004, -0.43500928;"{""coordinates"": [[-0.434993, 47.49617293], [-0.43502556, 47.49617097]], ""type"": ""LineString""}";1065201;C;CANALISATION;1000;BETON;2.46;31.28;0
47.49638523, -0.43395755999999996;"{""coordinates"": [[-0.43395349, 47.49632755], [-0.43396163, 47.49644291]], ""type"": ""LineString""}";1065202;C;CANALISATION;500;NC;12.84;31.7;31.56
47.49608620499999, -0.43263874;"{""coordinates"": [[-0.4326299, 47.49610767], [-0.43264758, 47.49606474]], ""type"": ""LineString""}";1065203;C;CANALISATION;0;NC;4.96;34.11;0
47.49632233, -0.43397308;"{""coordinates"": [[-0.43399267, 47.49631711], [-0.43395349, 47.49632755]], ""type"": ""LineString""}";1065204;C;CANALISATION;0;NC;3.17;0;31.7
47.49653343, -0.43396641999999996;"{""coordinates"": [[-0.4339693, 47.49657998], [-0.43396354, 47.49648688]], ""type"": ""LineString""}";1065205;C;CANALISATION;400;NC;10.35;31.78;0
47.496484765, -0.433981735;"{""coordinates"": [[-0.43399993, 47.49648265], [-0.43396354, 47.49648688]], ""type"": ""LineString""}";1065206;C;CANALISATION;0;NC;2.78;0;0
47.49669556, -0.433920185;"{""coordinates"": [[-0.43387107, 47.49681114], [-0.4339693, 47.49657998]], ""type"": ""LineString""}";1065207;C;CANALISATION;400;NC;26.74;32.04;31.78
47.496705755, -0.43326071;"{""coordinates"": [[-0.43325918, 47.4966841], [-0.43326224, 47.49672741]], ""type"": ""LineString""}";1065208;C;CANALISATION;0;NC;4.82;33.52;33.49
47.496775775, -0.433340365;"{""coordinates"": [[-0.43326224, 47.49672741], [-0.43341849, 47.49682414]], ""type"": ""LineString""}";1065209;C;CANALISATION;300;NC;15.94;33.49;33.1
47.49681764, -0.43364478;"{""coordinates"": [[-0.43341849, 47.49682414], [-0.43387107, 47.49681114]], ""type"": ""LineString""}";1065210;C;CANALISATION;400;NC;34.14;32.3;32.04
47.497291045, -0.43417786999999997;"{""coordinates"": [[-0.43394977, 47.49732506], [-0.43440597, 47.49725703]], ""type"": ""LineString""}";1065211;C;CANALISATION;500;NC;35.19;32.74;32.18
47.497314205, -0.43396056;"{""coordinates"": [[-0.43397135, 47.49730335], [-0.43394977, 47.49732506]], ""type"": ""LineString""}";1065212;C;CANALISATION;0;NC;2.91;0;33.37
47.497791844999995, -0.43302874999999996;"{""coordinates"": [[-0.43332999, 47.4978646], [-0.43272751, 47.49771909]], ""type"": ""LineString""}";1065213;C;CANALISATION;500;NC;48.19;32.44;32.35
47.496805034999994, -0.43385832;"{""coordinates"": [[-0.43384557, 47.49679893], [-0.43387107, 47.49681114]], ""type"": ""LineString""}";1065214;C;CANALISATION;0;NC;2.35;0;32.36
47.49695007, -0.4338891;"{""coordinates"": [[-0.43390289, 47.49694552], [-0.43387531, 47.49695462]], ""type"": ""LineString""}";1065215;C;CANALISATION;0;NC;2.31;0;32.13
47.49684483, -0.43537102;"{""coordinates"": [[-0.43551328, 47.49683218], [-0.43522876, 47.49685748]], ""type"": ""LineString""}";1065216;C;CANALISATION;300;NC;21.63;0;32.17
47.496972, -0.43583127999999993;"{""coordinates"": [[-0.43569333, 47.49726358], [-0.43596923, 47.49668042]], ""type"": ""LineString""}";1065217;C;CANALISATION;600;NC;68.08;31.62;31.31
47.49718401, -0.43502518;"{""coordinates"": [[-0.43478896, 47.4971972], [-0.4352614, 47.49717082]], ""type"": ""LineString""}";1065218;C;CANALISATION;600;NC;35.72;32.02;31.87
47.49599122499999, -0.430542745;"{""coordinates"": [[-0.43056218, 47.49597741], [-0.43052331, 47.49600504]], ""type"": ""LineString""}";1065219;C;CANALISATION;0;NC;4.24;0;35.56
47.496016080000004, -0.43051087499999996;"{""coordinates"": [[-0.43049844, 47.49602712], [-0.43052331, 47.49600504]], ""type"": ""LineString""}";1065220;C;CANALISATION;0;NC;3.09;0;35.56
47.49597281500001, -0.430485095;"{""coordinates"": [[-0.43044688, 47.49594059], [-0.43052331, 47.49600504]], ""type"": ""LineString""}";1065221;C;CANALISATION;0;NC;9.19;0;35.09
47.496130550000004, -0.43094758000000005;"{""coordinates"": [[-0.43091421, 47.49615171], [-0.43098095, 47.49610939]], ""type"": ""LineString""}";1065222;C;CANALISATION;0;NC;6.88;0;34.7
47.49609333, -0.4309746;"{""coordinates"": [[-0.43096825, 47.49607727], [-0.43098095, 47.49610939]], ""type"": ""LineString""}";1065223;C;CANALISATION;0;NC;3.7;0;34.7
47.49627745499999, -0.43092885;"{""coordinates"": [[-0.43087675, 47.49644552], [-0.43098095, 47.49610939]], ""type"": ""LineString""}";1065224;C;CANALISATION;300;NC;38.18;34.89;34.7
47.497753419999995, -0.43076576;"{""coordinates"": [[-0.43076454, 47.49787419], [-0.43076698, 47.49763265]], ""type"": ""LineString""}";1065225;C;CANALISATION;300;NC;26.85;34.8;34.52
47.49873606, -0.431767525;"{""coordinates"": [[-0.43170566, 47.49875937], [-0.43182939, 47.49871275]], ""type"": ""LineString""}";1065226;C;CANALISATION;250;BETON;10.67;35.22;35.17
47.499157985, -0.43064521;"{""coordinates"": [[-0.43051314, 47.49920922], [-0.43077728, 47.49910675]], ""type"": ""LineString""}";1065231;C;CANALISATION;250;BETON;22.93;35.72;35.59
47.4988128, -0.43191046;"{""coordinates"": [[-0.43182939, 47.49871275], [-0.43199153, 47.49891285]], ""type"": ""LineString""}";1065234;C;CANALISATION;250;BETON;25.38;35.17;35.2
47.497617545, -0.43076321500000003;"{""coordinates"": [[-0.43075945, 47.49760244], [-0.43076698, 47.49763265]], ""type"": ""LineString""}";1065235;C;CANALISATION;0;NC;3.41;0;34.52
47.497591955, -0.429896755;"{""coordinates"": [[-0.42983423, 47.4976698], [-0.42995928, 47.49751411]], ""type"": ""LineString""}";1065236;C;CANALISATION;400;NC;19.71;0;35.06
47.498688275, -0.43188493999999994;"{""coordinates"": [[-0.43171069, 47.49873644], [-0.43205919, 47.49864011]], ""type"": ""LineString""}";1065237;C;CANALISATION;300;NC;28.36;34.52;34.15
