Geo Point;Geo Shape;GID;DIAMETRE;MATERIAU;DATEPOSE;RADIER;ZSURF;EXPLOIT;NUMERO
47.4551167692, -0.4070835028;"{""coordinates"": [-0.4070835028, 47.4551167692], ""type"": ""Point""}";56010;;;1950-01-01;23.96;24.93;ANGERS LOIRE METROPOLE;941607
47.4546913805, -0.4075432467;"{""coordinates"": [-0.4075432467, 47.4546913805], ""type"": ""Point""}";56011;;;1950-01-01;23.45;25.35;ANGERS LOIRE METROPOLE;941608
47.4781606783, -0.4131833254;"{""coordinates"": [-0.4131833254, 47.4781606783], ""type"": ""Point""}";56012;;;1950-01-01;28.72;30.27;ANGERS LOIRE METROPOLE;941609
47.4586615208, -0.6565971011;"{""coordinates"": [-0.6565971011, 47.4586615208], ""type"": ""Point""}";71407;1000;BETON;2024-05-15;69.18;70.33;NON PRIS GESTION;1895124
47.4591840232, -0.655023333;"{""coordinates"": [-0.655023333, 47.4591840232], ""type"": ""Point""}";71412;;BETON;2024-05-15;69.18;70.33;ANGERS LOIRE METROPOLE;1895133
47.4591969822, -0.6550633935;"{""coordinates"": [-0.6550633935, 47.4591969822], ""type"": ""Point""}";71413;1000;BETON;2022-04-01;67.91;69.81;NON PRIS GESTION;1895134
47.4594771062, -0.6559281895;"{""coordinates"": [-0.6559281895, 47.4594771062], ""type"": ""Point""}";71415;1000;BETON;2022-04-01;66.98;69.08;NON PRIS GESTION;1895138
47.4935268769, -0.5225045963;"{""coordinates"": [-0.5225045963, 47.4935268769], ""type"": ""Point""}";60521;1000;BETON;2018-11-01;32.8;35.55;ANGERS LOIRE METROPOLE;1367479
47.4934761783, -0.5229417599;"{""coordinates"": [-0.5229417599, 47.4934761783], ""type"": ""Point""}";60525;1000;BETON;2018-11-01;0;0;ANGERS LOIRE METROPOLE;1367486
47.468273782, -0.5307273562;"{""coordinates"": [-0.5307273562, 47.468273782], ""type"": ""Point""}";49501;1000;BETON;2017-10-01;42.72;44.06;ANGERS LOIRE METROPOLE;855439
47.4601913356, -0.7080189723;"{""coordinates"": [-0.7080189723, 47.4601913356], ""type"": ""Point""}";57405;1000;BETON;2015-03-01;58.25;60.62;ANGERS LOIRE METROPOLE;948665
47.4605298398, -0.7064570691;"{""coordinates"": [-0.7064570691, 47.4605298398], ""type"": ""Point""}";57482;1000;BETON;2015-03-01;61.78;63.98;NON PRIS GESTION;948819
47.461283529, -0.7058044763;"{""coordinates"": [-0.7058044763, 47.461283529], ""type"": ""Point""}";57489;1000;BETON;2016-10-01;64.84;66.87;NON PRIS GESTION;948834
