Geo Point;Geo Shape;GID;MATERIAU;DATEPOSE;ECOUNORM;ZAMONT;ZAVAL;EXPLOIT;LONGUEUR;DIAMETRE;NUMERO
47.5154843469, -0.4769061458;"{""coordinates"": [[-0.4770807587, 47.5155661583], [-0.4767315329, 47.5154025355]], ""type"": ""LineString""}";28611;PVC;19940201000000;GRAVITAIRE;34.7;34.51;ANGERS LOIRE METROPOLE;31.98;200;164454
47.48246881845, -0.55308416525;"{""coordinates"": [[-0.55293418, 47.4827154186], [-0.5532341505, 47.4822222183]], ""type"": ""LineString""}";26857;PVC;20080601000000;GRAVITAIRE;16.79;16.58;ANGERS LOIRE METROPOLE;59.31;250;162700
47.4856828461, -0.51215638545;"{""coordinates"": [[-0.5125056689, 47.4858044015], [-0.511807102, 47.4855612907]], ""type"": ""LineString""}";27907;PVC;19860901000000;GRAVITAIRE;44.48;44.02;ANGERS LOIRE METROPOLE;59.18;200;163750
47.42556243340001, -0.5536967182999999;"{""coordinates"": [[-0.5537036253, 47.425554612], [-0.5536898113, 47.4255702548]], ""type"": ""LineString""}";27908;AC;19500101000000;GRAVITAIRE;0;23.56;ANGERS LOIRE METROPOLE;2.03;150;163751
47.52521244585, -0.6062420535;"{""coordinates"": [[-0.6066708099, 47.5252530933], [-0.6058132971, 47.5251717984]], ""type"": ""LineString""}";28188;AC;19500101000000;GRAVITAIRE;47.96;47.16;ANGERS LOIRE METROPOLE;65.2;300;164031
47.5659153038, -0.50747063495;"{""coordinates"": [[-0.5073340786, 47.5660167738], [-0.5076071913, 47.5658138338]], ""type"": ""LineString""}";28190;AC;19760101000000;GRAVITAIRE;18.82;18.73;ANGERS LOIRE METROPOLE;30.52;150;164033
47.47928134165001, -0.55079120245;"{""coordinates"": [[-0.5504870412, 47.4791501401], [-0.5510953637, 47.4794125432]], ""type"": ""LineString""}";7052;PVC;19980101000000;GRAVITAIRE;18.65;18.42;ANGERS LOIRE METROPOLE;54.34;200;142895
47.52778419495, -0.5971704764;"{""coordinates"": [[-0.5972454787, 47.5278403881], [-0.5970954741, 47.5277280018]], ""type"": ""LineString""}";6368;AC;19800101000000;GRAVITAIRE;33.5;32.71;ANGERS LOIRE METROPOLE;16.84;200;142211
47.459550211599996, -0.5388941738499999;"{""coordinates"": [[-0.5388430236, 47.4594809624], [-0.5389453241, 47.4596194608]], ""type"": ""LineString""}";27775;PVC;19850701000000;GRAVITAIRE;40.79;40.69;ANGERS LOIRE METROPOLE;17.22;200;163618
47.535373570299996, -0.5668829187;"{""coordinates"": [[-0.5670912486, 47.5355205709], [-0.5666745888, 47.5352265697]], ""type"": ""LineString""}";28199;PVC;19901101000000;GRAVITAIRE;30.86;30.16;ANGERS LOIRE METROPOLE;43.85;200;164042
47.473915057, -0.5504840732;"{""coordinates"": [[-0.5504905679, 47.473909905], [-0.5504775785, 47.473920209]], ""type"": ""LineString""}";28732;AC;19800901000000;GRAVITAIRE;0;18.72;ANGERS LOIRE METROPOLE;1.51;150;164575
47.450843354087255, -0.5609156905740877;"{""coordinates"": [[-0.5602590004, 47.4505383481], [-0.5603986634, 47.4505959889], [-0.5615694067, 47.4511550474]], ""type"": ""LineString""}";26343;F;19500101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;120.3;350;162186
47.4524355307, -0.55313860365;"{""coordinates"": [[-0.5531663782, 47.4525887375], [-0.5531108291, 47.4522823239]], ""type"": ""LineString""}";27915;AC;19500101000000;GRAVITAIRE;30.12;29.83;ANGERS LOIRE METROPOLE;34.32;150;163758
47.47434361395, -0.5486386122;"{""coordinates"": [[-0.5485492629, 47.4744224897], [-0.5487279615, 47.4742647382]], ""type"": ""LineString""}";26648;AC;19701001000000;GRAVITAIRE;20.53;19.83;ANGERS LOIRE METROPOLE;22.11;150;162491
47.4699057853, -0.53788601015;"{""coordinates"": [[-0.5380860411, 47.4699871754], [-0.5376859792, 47.4698243952]], ""type"": ""LineString""}";2898;AC;19820101000000;GRAVITAIRE;0;38.27;NON PRIS GESTION;35.17;150;138741
47.5056518087, -0.52699058465;"{""coordinates"": [[-0.5268864871, 47.5055900683], [-0.5270946822, 47.5057135491]], ""type"": ""LineString""}";24296;PVC;19950101000000;GRAVITAIRE;14.15;0;ANGERS LOIRE METROPOLE;20.84;315;160139
47.4567027688, -0.6619538287;"{""coordinates"": [[-0.6622929025, 47.4565610368], [-0.6616147549, 47.4568445008]], ""type"": ""LineString""}";3823;PVC;19860101000000;GRAVITAIRE;73.59;73.4;ANGERS LOIRE METROPOLE;60.06;200;139666
47.437232463, -0.5124660622999999;"{""coordinates"": [[-0.5122796325, 47.437168627], [-0.5126524921, 47.437296299]], ""type"": ""LineString""}";26481;AC;19500101000000;GRAVITAIRE;19.25;19.14;ANGERS LOIRE METROPOLE;31.5;200;162324
47.478156984550004, -0.5421238335;"{""coordinates"": [[-0.5421006001, 47.4781561215], [-0.5421470669, 47.4781578476]], ""type"": ""LineString""}";26871;PVC;19850601000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;3.51;250;162714
47.4787411888, -0.6000641074499999;"{""coordinates"": [[-0.6001409104, 47.4786849032], [-0.5999873045, 47.4787974744]], ""type"": ""LineString""}";26498;AC;19500101000000;GRAVITAIRE;41.07;0;ANGERS LOIRE METROPOLE;17.05;250;162341
47.4685502746, -0.6334170341;"{""coordinates"": [[-0.6334261222, 47.4685579126], [-0.633407946, 47.4685426366]], ""type"": ""LineString""}";26781;PVC;19940101000000;GRAVITAIRE;0;65.19;ANGERS LOIRE METROPOLE;2.18;200;162624
47.53070640255, -0.5340210874;"{""coordinates"": [[-0.5338430342, 47.5307566405], [-0.5341991406, 47.5306561646]], ""type"": ""LineString""}";26783;PVC;19891201000000;GRAVITAIRE;0;13.97;ANGERS LOIRE METROPOLE;29.05;125;162626
47.36306652225, -0.5225940088500001;"{""coordinates"": [[-0.5227209721, 47.3629955588], [-0.5224670456, 47.3631374857]], ""type"": ""LineString""}";26794;PVC;19500101000000;GRAVITAIRE;45.25;44.38;ANGERS LOIRE METROPOLE;24.84;200;162637
47.525022740699995, -0.44391568885;"{""coordinates"": [[-0.4439523318, 47.525069142], [-0.4438790459, 47.5249763394]], ""type"": ""LineString""}";27087;PVC;19850601000000;GRAVITAIRE;41;40.81;ANGERS LOIRE METROPOLE;11.7;200;162930
47.4714703968, -0.5473259918;"{""coordinates"": [[-0.5472157664, 47.4714077381], [-0.5474362172, 47.4715330555]], ""type"": ""LineString""}";27358;AC;19700901000000;GRAVITAIRE;38.05;0;ANGERS LOIRE METROPOLE;21.69;150;163201
47.486420411, -0.5255786275000001;"{""coordinates"": [[-0.5255803876, 47.4864339082], [-0.5255768674, 47.4864069138]], ""type"": ""LineString""}";26886;AC;19500101000000;GRAVITAIRE;0;42.23;ANGERS LOIRE METROPOLE;3.01;150;162729
47.55523330765, -0.42316594165;"{""coordinates"": [[-0.4232913429, 47.5549973125], [-0.4230405404, 47.5554693028]], ""type"": ""LineString""}";27154;GRES;19900101000000;GRAVITAIRE;22.82;22.45;ANGERS LOIRE METROPOLE;55.77;200;162997
47.43503407355, -0.6102192961;"{""coordinates"": [[-0.6103469872, 47.4348752898], [-0.610091605, 47.4351928573]], ""type"": ""LineString""}";26514;PVC;19500101000000;GRAVITAIRE;56.04;54.56;ANGERS LOIRE METROPOLE;40.22;200;162357
47.428346492, -0.5275846066500001;"{""coordinates"": [[-0.5275394222, 47.4282385184], [-0.5276297911, 47.4284544656]], ""type"": ""LineString""}";26517;AC;19500101000000;GRAVITAIRE;19.41;19.17;ANGERS LOIRE METROPOLE;24.96;150;162360
47.4646688772, -0.48634764980000006;"{""coordinates"": [[-0.486525612, 47.4646291084], [-0.4861696876, 47.464708646]], ""type"": ""LineString""}";27065;PVC;19920701000000;GRAVITAIRE;35.84;35.6;ANGERS LOIRE METROPOLE;28.25;200;162908
47.45811225224999, -0.5986790814;"{""coordinates"": [[-0.5989492321, 47.4583987697], [-0.5984089307, 47.4578257348]], ""type"": ""LineString""}";26804;PVC;19830101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;75.62;200;162647
47.4642019998, -0.54729655005;"{""coordinates"": [[-0.547489374, 47.4642809388], [-0.5471037261, 47.4641230608]], ""type"": ""LineString""}";26806;AC;19690101000000;GRAVITAIRE;42.52;41.97;ANGERS LOIRE METROPOLE;33.96;150;162649
47.541214029550005, -0.6705234929;"{""coordinates"": [[-0.6701591701, 47.5411580174], [-0.6708878157, 47.5412700417]], ""type"": ""LineString""}";64666;PVC;20200601000000;GRAVITAIRE;86.36;85.99;ANGERS LOIRE METROPOLE;56.25;200;1625199
47.4472114685, -0.4934754246;"{""coordinates"": [[-0.4934045056, 47.4473642056], [-0.4935463436, 47.4470587314]], ""type"": ""LineString""}";27095;PVC;19870801000000;GRAVITAIRE;22.55;19.87;ANGERS LOIRE METROPOLE;35.61;200;162938
47.43339247895, -0.49390918750000007;"{""coordinates"": [[-0.4942113955, 47.4334669741], [-0.4936069795, 47.4333179838]], ""type"": ""LineString""}";8725;PVC;19901001000000;GRAVITAIRE;0;18.5;ANGERS LOIRE METROPOLE;48.51;200;144568
47.46693032304999, -0.54453999715;"{""coordinates"": [[-0.5445522043, 47.466938142], [-0.54452779, 47.4669225041]], ""type"": ""LineString""}";9046;AC;19680901000000;GRAVITAIRE;0;44.71;ANGERS LOIRE METROPOLE;2.53;150;144889
47.5019828088, -0.578473534;"{""coordinates"": [[-0.5785818524, 47.5020294719], [-0.5783652156, 47.5019361457]], ""type"": ""LineString""}";47101;PP;20160701000000;GRAVITAIRE;55.01;54.93;NON PRIS GESTION;19.34;200;755456
47.52551091235, -0.5992004583;"{""coordinates"": [[-0.59925582, 47.5253942944], [-0.5991450966, 47.5256275303]], ""type"": ""LineString""}";3949;AC;19810101000000;GRAVITAIRE;36.04;35.49;ANGERS LOIRE METROPOLE;27.24;200;139792
47.41267031935, -0.6165026155;"{""coordinates"": [[-0.6165866278, 47.4124038938], [-0.6164186032, 47.4129367449]], ""type"": ""LineString""}";16000;F;19900901000000;GRAVITAIRE;15.25;15.06;ANGERS LOIRE METROPOLE;60.58;200;151843
47.477162545549994, -0.5916599085500001;"{""coordinates"": [[-0.5918266329, 47.4772073337], [-0.5914931842, 47.4771177574]], ""type"": ""LineString""}";26520;NC;19550101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;27.03;150;162363
47.44288424945, -0.48068753300000006;"{""coordinates"": [[-0.4806797606, 47.4428820979], [-0.4806953054, 47.442886401]], ""type"": ""LineString""}";38190;PP;20130401000000;GRAVITAIRE;18.63;18.59;ANGERS LOIRE METROPOLE;1.27;315;670459
47.43869648035, -0.5309943394000001;"{""coordinates"": [[-0.5309446061, 47.4388856482], [-0.5310440727, 47.4385073125]], ""type"": ""LineString""}";27169;AC;19500101000000;GRAVITAIRE;22.1;21.67;ANGERS LOIRE METROPOLE;42.72;200;163012
47.52397015245, -0.5244541301500001;"{""coordinates"": [[-0.5242971062, 47.5238995786], [-0.5246111541, 47.5240407263]], ""type"": ""LineString""}";26823;PVC;20020601000000;GRAVITAIRE;21.44;21.3;ANGERS LOIRE METROPOLE;28.38;200;162666
47.557940081, -0.43349736735;"{""coordinates"": [[-0.4335365367, 47.5578969629], [-0.433458198, 47.5579831991]], ""type"": ""LineString""}";14573;PVC;20060301000000;GRAVITAIRE;40.72;40.64;ANGERS LOIRE METROPOLE;11.26;200;150416
47.568654255949994, -0.42777683899999996;"{""coordinates"": [[-0.4280552068, 47.5687087599], [-0.4274984712, 47.568599752]], ""type"": ""LineString""}";14596;AC;19830101000000;GRAVITAIRE;18.96;18.9;ANGERS LOIRE METROPOLE;43.61;150;150439
47.45459383885, -0.57638921665;"{""coordinates"": [[-0.5763522315, 47.4545975961], [-0.5764262018, 47.4545900816]], ""type"": ""LineString""}";14627;PVC;20010401000000;GRAVITAIRE;0;0;NON PRIS GESTION;5.64;200;150470
47.512808611800004, -0.6140400689000002;"{""coordinates"": [[-0.61423339, 47.5127102707], [-0.6138467478, 47.5129069529]], ""type"": ""LineString""}";26863;PVC;20070601000000;GRAVITAIRE;50.09;49.45;NON PRIS GESTION;36.42;200;162706
47.473672606250005, -0.52079577725;"{""coordinates"": [[-0.5204644946, 47.4735312609], [-0.5211270599, 47.4738139516]], ""type"": ""LineString""}";20098;PVC;19841201000000;GRAVITAIRE;39.8;39.21;ANGERS LOIRE METROPOLE;59.01;200;155941
47.48662965995, -0.49866860675;"{""coordinates"": [[-0.4987203403, 47.4864865527], [-0.4986168732, 47.4867727672]], ""type"": ""LineString""}";24198;PVC;19930701000000;GRAVITAIRE;32.27;31.96;ANGERS LOIRE METROPOLE;32.76;200;160041
47.5035785135, -0.5960225915999999;"{""coordinates"": [[-0.5959525934, 47.5036955869], [-0.5960925898, 47.5034614401]], ""type"": ""LineString""}";19859;PVC;20031101000000;GRAVITAIRE;43.54;43.42;ANGERS LOIRE METROPOLE;28.09;200;155702
47.46168566245, -0.5358149543499999;"{""coordinates"": [[-0.5359266063, 47.4617343763], [-0.5357033024, 47.4616369486]], ""type"": ""LineString""}";27139;AC;19710401000000;GRAVITAIRE;42.99;42.71;ANGERS LOIRE METROPOLE;20.02;150;162982
47.461499253, -0.49126219995;"{""coordinates"": [[-0.4912260095, 47.4617161249], [-0.4912983904, 47.4612823811]], ""type"": ""LineString""}";27141;AC;19770301000000;GRAVITAIRE;33.03;32.02;ANGERS LOIRE METROPOLE;48.53;150;162984
47.4938002574, -0.52230606665;"{""coordinates"": [[-0.5222891351, 47.4936992995], [-0.5223229982, 47.4939012153]], ""type"": ""LineString""}";13712;AC;19680101000000;GRAVITAIRE;31.91;0;ANGERS LOIRE METROPOLE;22.59;200;149555
47.438859812299995, -0.49842454254999996;"{""coordinates"": [[-0.4985507024, 47.4391240351], [-0.4982983827, 47.4385955895]], ""type"": ""LineString""}";13550;PVC;20050101000000;GRAVITAIRE;20.31;19.98;ANGERS LOIRE METROPOLE;61.75;200;149393
47.491095619099994, -0.5195027364;"{""coordinates"": [[-0.519236464, 47.4911168333], [-0.5197690088, 47.4910744049]], ""type"": ""LineString""}";22387;AC;19680101000000;GRAVITAIRE;32.95;32.94;NON PRIS GESTION;40.4;200;158230
47.4617487214, -0.6042886133500001;"{""coordinates"": [[-0.6042966413, 47.4617378905], [-0.6042805854, 47.4617595523]], ""type"": ""LineString""}";12259;PVC;19881201000000;GRAVITAIRE;0;50.06;ANGERS LOIRE METROPOLE;2.7;200;148102
47.46143791735, -0.61067555125;"{""coordinates"": [[-0.6108611477, 47.461492217], [-0.6104899548, 47.4613836177]], ""type"": ""LineString""}";12398;BETON;19780101000000;GRAVITAIRE;53.55;53.45;ANGERS LOIRE METROPOLE;30.48;300;148241
47.4478651692, -0.54669004285;"{""coordinates"": [[-0.5467711075, 47.4479908074], [-0.5466089782, 47.447739531]], ""type"": ""LineString""}";3650;AC;19730101000000;GRAVITAIRE;30.21;30.15;ANGERS LOIRE METROPOLE;30.49;150;139493
47.452411005200005, -0.5330844354;"{""coordinates"": [[-0.5332793135, 47.4524679334], [-0.5328895573, 47.452354077]], ""type"": ""LineString""}";20162;PVC;19880301000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;32;200;156005
47.472803222850004, -0.6283789816;"{""coordinates"": [[-0.6281099975, 47.4726936714], [-0.6286479657, 47.4729127743]], ""type"": ""LineString""}";24530;AC;19710101000000;GRAVITAIRE;64.45;64.33;ANGERS LOIRE METROPOLE;47.3;150;160373
47.46820899089999, -0.55055908805;"{""coordinates"": [[-0.5508862322, 47.4679670734], [-0.5502319439, 47.4684509084]], ""type"": ""LineString""}";12202;PVC;20081201000000;GRAVITAIRE;43.9;43.64;ANGERS LOIRE METROPOLE;72.98;200;148045
47.45886025295, -0.48114698405;"{""coordinates"": [[-0.4809721277, 47.4589036122], [-0.4813218404, 47.4588168937]], ""type"": ""LineString""}";16339;PVC;19950401000000;GRAVITAIRE;34.8;34.4;ANGERS LOIRE METROPOLE;28.07;200;152182
47.51468110775, -0.6649478090500001;"{""coordinates"": [[-0.665143838, 47.5145231175], [-0.6647517801, 47.514839098]], ""type"": ""LineString""}";26592;AC;19800101000000;GRAVITAIRE;31.26;31.11;ANGERS LOIRE METROPOLE;45.89;200;162435
47.47414703305, -0.5749128825500001;"{""coordinates"": [[-0.5746881479, 47.4740608421], [-0.5751376172, 47.474233224]], ""type"": ""LineString""}";13682;F;19911101000000;GRAVITAIRE;29.11;28.49;ANGERS LOIRE METROPOLE;38.92;200;149525
47.52276613065, -0.66440631315;"{""coordinates"": [[-0.6645273802, 47.5227848484], [-0.6642852461, 47.5227474129]], ""type"": ""LineString""}";26895;PVC;20060701000000;GRAVITAIRE;46.48;46.37;NON PRIS GESTION;18.7;200;162738
47.55873689375, -0.66987113415;"{""coordinates"": [[-0.6700130147, 47.5586554029], [-0.6697292536, 47.5588183846]], ""type"": ""LineString""}";16233;PVC;20010501000000;GRAVITAIRE;57.16;56.48;NON PRIS GESTION;28.01;200;152076
47.467083895, -0.53801277845;"{""coordinates"": [[-0.5381960795, 47.4670837702], [-0.5378294774, 47.4670840198]], ""type"": ""LineString""}";21000;AC;19680101000000;GRAVITAIRE;38.21;38.11;ANGERS LOIRE METROPOLE;27.64;150;156843
47.47284765605, -0.5822679426499999;"{""coordinates"": [[-0.5825198466, 47.4727745144], [-0.5820160387, 47.4729207977]], ""type"": ""LineString""}";25166;PVC;20060901000000;GRAVITAIRE;27.75;27.21;ANGERS LOIRE METROPOLE;41.31;200;161009
47.44255660095, -0.6159163259;"{""coordinates"": [[-0.6160352902, 47.4425025827], [-0.6157973616, 47.4426106192]], ""type"": ""LineString""}";27414;PVC;20061001000000;GRAVITAIRE;46.84;45.66;ANGERS LOIRE METROPOLE;21.59;200;163257
47.5772094215, -0.48543498814999997;"{""coordinates"": [[-0.4853679946, 47.5774409834], [-0.4855019817, 47.5769778596]], ""type"": ""LineString""}";20171;PVC;19990501000000;GRAVITAIRE;36.55;36.21;ANGERS LOIRE METROPOLE;52.47;200;156014
47.45609340535, -0.66544918295;"{""coordinates"": [[-0.6652316785, 47.4559544802], [-0.6656666874, 47.4562323305]], ""type"": ""LineString""}";26578;PVC;20061101000000;GRAVITAIRE;70.3;69.58;NON PRIS GESTION;45.06;200;162421
47.532787038, -0.5342412712;"{""coordinates"": [[-0.5341918354, 47.5329558863], [-0.534290707, 47.5326181897]], ""type"": ""LineString""}";26878;PVC;19920101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;38.27;200;162721
47.574842868450006, -0.4421991332;"{""coordinates"": [[-0.4426094147, 47.5748965654], [-0.4417888517, 47.5747891715]], ""type"": ""LineString""}";26881;PEHD;19980101000000;SIPHON;29.08;27.69;ANGERS LOIRE METROPOLE;62.88;160;162724
47.4833708341, -0.5690457116500001;"{""coordinates"": [[-0.5689104579, 47.4835609057], [-0.5691809654, 47.4831807625]], ""type"": ""LineString""}";28686;AC;19820101000000;GRAVITAIRE;46.82;46.28;ANGERS LOIRE METROPOLE;46.92;200;164529
47.4770865974, -0.5448608699999999;"{""coordinates"": [[-0.544854048, 47.4770838805], [-0.544867692, 47.4770893143]], ""type"": ""LineString""}";26611;AC;19690101000000;GRAVITAIRE;0;0;NON PRIS GESTION;1.19;150;162454
47.4201825221, -0.5778283333500001;"{""coordinates"": [[-0.5778284162, 47.4204428373], [-0.5778282505, 47.4199222069]], ""type"": ""LineString""}";9010;PVC;20030501000000;GRAVITAIRE;27.04;26.05;ANGERS LOIRE METROPOLE;57.88;200;144853
47.4639582856, -0.71338702705;"{""coordinates"": [[-0.7131925962, 47.4640272151], [-0.7135814579, 47.4638893561]], ""type"": ""LineString""}";28081;PVC;20001101000000;GRAVITAIRE;60.23;60.09;NON PRIS GESTION;33.08;200;163924
47.469733459850005, -0.5507325655499999;"{""coordinates"": [[-0.5507357466, 47.4697294002], [-0.5507293845, 47.4697375195]], ""type"": ""LineString""}";28082;AC;19720901000000;GRAVITAIRE;0;43.52;ANGERS LOIRE METROPOLE;1.02;150;163925
47.4459634585, -0.5526524935;"{""coordinates"": [[-0.5525487863, 47.4459648052], [-0.5527562007, 47.4459621118]], ""type"": ""LineString""}";28085;AC;19740101000000;GRAVITAIRE;27.97;27.81;ANGERS LOIRE METROPOLE;15.65;150;163928
47.481204273299994, -0.53997443805;"{""coordinates"": [[-0.539946482, 47.4811883827], [-0.5400023941, 47.4812201639]], ""type"": ""LineString""}";27177;AC;19741201000000;GRAVITAIRE;31.63;0;ANGERS LOIRE METROPOLE;5.5;150;163020
47.464655029000006, -0.55129467335;"{""coordinates"": [[-0.5514975557, 47.4646341112], [-0.551091791, 47.4646759468]], ""type"": ""LineString""}";27436;AC;19720501000000;GRAVITAIRE;44.25;44.06;ANGERS LOIRE METROPOLE;30.94;150;163279
47.4770672629, -0.5337204841000001;"{""coordinates"": [[-0.5337761996, 47.4771091824], [-0.5336647686, 47.4770253434]], ""type"": ""LineString""}";27437;AC;19770701000000;GRAVITAIRE;35.3;34.98;ANGERS LOIRE METROPOLE;12.55;150;163280
47.50796624245, -0.58312430495;"{""coordinates"": [[-0.5830856981, 47.5079967034], [-0.5831629118, 47.5079357815]], ""type"": ""LineString""}";26581;AC;19800101000000;GRAVITAIRE;54.37;54.05;ANGERS LOIRE METROPOLE;8.93;200;162424
47.5147550862, -0.47547585435;"{""coordinates"": [[-0.4757394567, 47.5148939623], [-0.475212252, 47.5146162101]], ""type"": ""LineString""}";26583;PVC;19940201000000;GRAVITAIRE;34.04;33.75;ANGERS LOIRE METROPOLE;50.3;200;162426
47.46842660105, -0.6958053163;"{""coordinates"": [[-0.6959316061, 47.4682176963], [-0.6956790265, 47.4686355058]], ""type"": ""LineString""}";12283;PVC;20080101000000;GRAVITAIRE;72.22;71.79;NON PRIS GESTION;50.2;200;148126
47.47805481775, -0.58508718905;"{""coordinates"": [[-0.5851274928, 47.4782100611], [-0.5850468853, 47.4778995744]], ""type"": ""LineString""}";4094;AC;19550101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;35.05;150;139937
47.455111535700006, -0.60250482805;"{""coordinates"": [[-0.6026978032, 47.4551938463], [-0.6023118529, 47.4550292251]], ""type"": ""LineString""}";26617;AC;19750101000000;GRAVITAIRE;26.25;25.76;ANGERS LOIRE METROPOLE;34.38;150;162460
47.492285011, -0.52613575165;"{""coordinates"": [[-0.5261586608, 47.4921699615], [-0.5261128425, 47.4924000605]], ""type"": ""LineString""}";28337;AC;19690101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;25.81;150;164180
47.490362906200005, -0.5765583648499998;"{""coordinates"": [[-0.5761574257, 47.4905125458], [-0.576959304, 47.4902132666]], ""type"": ""LineString""}";15231;AC;19781201000000;GRAVITAIRE;49.86;49.57;ANGERS LOIRE METROPOLE;68.98;150;151074
47.455283724850005, -0.5312804765;"{""coordinates"": [[-0.531082576, 47.455344164], [-0.531478377, 47.4552232857]], ""type"": ""LineString""}";27439;AC;19500101000000;GRAVITAIRE;39.14;38.99;ANGERS LOIRE METROPOLE;32.73;150;163282
47.464406445749994, -0.5203758378000001;"{""coordinates"": [[-0.5202926269, 47.4645622312], [-0.5204590487, 47.4642506603]], ""type"": ""LineString""}";27442;AC;19780101000000;GRAVITAIRE;37.97;37.9;ANGERS LOIRE METROPOLE;36.84;200;163285
47.5278641345, -0.59584861215;"{""coordinates"": [[-0.5960857124, 47.5278111969], [-0.5956115119, 47.5279170721]], ""type"": ""LineString""}";27445;AC;19770101000000;GRAVITAIRE;32.35;32.11;ANGERS LOIRE METROPOLE;37.6;300;163288
47.48679144315, -0.58532083705;"{""coordinates"": [[-0.5851878723, 47.4866499718], [-0.5854538018, 47.4869329145]], ""type"": ""LineString""}";226;AC;19680101000000;GRAVITAIRE;45.86;45.7;ANGERS LOIRE METROPOLE;37.3;150;136069
47.51541815945, -0.4586387671;"{""coordinates"": [[-0.4588069056, 47.5154093007], [-0.4584706286, 47.5154270182]], ""type"": ""LineString""}";13599;AC;19500101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;25.4;150;149442
47.52239622185, -0.7489051346500001;"{""coordinates"": [[-0.7487129245, 47.5226889077], [-0.7490973448, 47.522103536]], ""type"": ""LineString""}";12764;PVC;20020901000000;GRAVITAIRE;55.2;54.43;NON PRIS GESTION;72.13;200;148607
47.44218813885, -0.5645283579;"{""coordinates"": [[-0.5645517994, 47.4420894931], [-0.5645049164, 47.4422867846]], ""type"": ""LineString""}";29313;AC;19710101000000;GRAVITAIRE;29.61;29.12;ANGERS LOIRE METROPOLE;22.22;200;165156
47.442266438649995, -0.4906172141;"{""coordinates"": [[-0.4906883203, 47.4423669323], [-0.4905461079, 47.442165945]], ""type"": ""LineString""}";26598;PVC;19931101000000;GRAVITAIRE;21.14;21.07;ANGERS LOIRE METROPOLE;24.79;200;162441
47.44730350015, -0.48396455495;"{""coordinates"": [[-0.4839538054, 47.4472984674], [-0.4839753045, 47.4473085329]], ""type"": ""LineString""}";26599;PVC;19870401000000;GRAVITAIRE;0;23.7;ANGERS LOIRE METROPOLE;1.97;200;162442
47.4459802315, -0.49805739605;"{""coordinates"": [[-0.4982559209, 47.4456884742], [-0.4978588712, 47.4462719888]], ""type"": ""LineString""}";26605;PVC;20031201000000;GRAVITAIRE;21.9;21.34;ANGERS LOIRE METROPOLE;71.45;200;162448
47.39948202465, -0.52221267815;"{""coordinates"": [[-0.5222032828, 47.3995333654], [-0.5222220735, 47.3994306839]], ""type"": ""LineString""}";26607;PVC;20030101000000;GRAVITAIRE;28.19;28.15;NON PRIS GESTION;11.5;200;162450
47.4468975796, -0.50063845705;"{""coordinates"": [[-0.5007861891, 47.4469358672], [-0.500490725, 47.446859292]], ""type"": ""LineString""}";17304;AC;19660101000000;GRAVITAIRE;23.23;23.12;NON PRIS GESTION;23.85;150;153147
47.424944316099996, -0.5646019677;"{""coordinates"": [[-0.5645503127, 47.4249357824], [-0.5646536227, 47.4249528498]], ""type"": ""LineString""}";29904;PVC;19891001000000;GRAVITAIRE;29.37;29.25;ANGERS LOIRE METROPOLE;8.02;200;165747
47.471570274399994, -0.599761016;"{""coordinates"": [[-0.5997627779, 47.471864528], [-0.5997592541, 47.4712760208]], ""type"": ""LineString""}";26906;BETON;19770101000000;GRAVITAIRE;45.34;45.11;ANGERS LOIRE METROPOLE;65.43;600;162749
47.47786570795, -0.5461985301500001;"{""coordinates"": [[-0.5462595099, 47.4778023823], [-0.5461375504, 47.4779290336]], ""type"": ""LineString""}";63163;AC;19680101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;16.82;150;1617142
47.526655101399996, -0.44290040124999996;"{""coordinates"": [[-0.4428918795, 47.5267664574], [-0.442908923, 47.5265437454]], ""type"": ""LineString""}";29325;F;19860701000000;GRAVITAIRE;35.84;35.75;ANGERS LOIRE METROPOLE;24.79;200;165168
47.4661617933, -0.5039339115999999;"{""coordinates"": [[-0.5038689389, 47.4663442035], [-0.5039988843, 47.4659793831]], ""type"": ""LineString""}";29327;PVC;20010101000000;GRAVITAIRE;39.49;39.35;ANGERS LOIRE METROPOLE;41.72;200;165170
47.462014507199996, -0.48468355615000003;"{""coordinates"": [[-0.4847461327, 47.4619079489], [-0.4846209796, 47.4621210655]], ""type"": ""LineString""}";29617;AC;19790601000000;GRAVITAIRE;34.06;33.92;ANGERS LOIRE METROPOLE;25.5;150;165460
47.558882576, -0.4313150074;"{""coordinates"": [[-0.431530358, 47.558834502], [-0.4310996568, 47.55893065]], ""type"": ""LineString""}";29623;AC;19790101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;34.13;150;165466
