Geo Point;Geo Shape;GID;MATERIAU;DATEPOSE;ECOUNORM;ZAMONT;ZAVAL;EXPLOIT;LONGUEUR;DIAMETRE;NUMERO
47.48151056965, -0.6712630008;"{""coordinates"": [[-0.6715222121, 47.4815574828], [-0.6710037895, 47.4814636565]], ""type"": ""LineString""}";34373;PVC;20100101000000;GRAVITAIRE;56.67;56.44;NON PRIS GESTION;40.44;200;629584
47.45962373875, -0.5519469235;"{""coordinates"": [[-0.5519769158, 47.4597922294], [-0.5519169312, 47.4594552481]], ""type"": ""LineString""}";32546;PVC;20110601000000;GRAVITAIRE;36.68;36.44;ANGERS LOIRE METROPOLE;37.74;200;618104
47.5032394926, -0.5900168441;"{""coordinates"": [[-0.5899640771, 47.5032697208], [-0.5900696111, 47.5032092644]], ""type"": ""LineString""}";30159;AC;19710101000000;GRAVITAIRE;43.8;43.68;ANGERS LOIRE METROPOLE;10.41;150;166002
47.486763115, -0.58492665265;"{""coordinates"": [[-0.584665433, 47.4868762582], [-0.5851878723, 47.4866499718]], ""type"": ""LineString""}";5671;AC;19790101000000;GRAVITAIRE;47.24;45.86;ANGERS LOIRE METROPOLE;46.72;150;141514
47.528908963700005, -0.4367694914;"{""coordinates"": [[-0.4370131875, 47.5289463749], [-0.4365257953, 47.5288715525]], ""type"": ""LineString""}";6733;PVC;20030501000000;GRAVITAIRE;31.42;31.16;ANGERS LOIRE METROPOLE;37.63;200;142576
47.578687446450004, -0.54840950935;"{""coordinates"": [[-0.5484355583, 47.5787157748], [-0.5483834604, 47.5786591181]], ""type"": ""LineString""}";33372;AC;19500101000000;GRAVITAIRE;42.58;0;ANGERS LOIRE METROPOLE;7.42;150;625006
47.52344369125, -0.44493776675;"{""coordinates"": [[-0.4450773645, 47.5233050641], [-0.444798169, 47.5235823184]], ""type"": ""LineString""}";20310;AC;19811001000000;GRAVITAIRE;39.59;39.47;ANGERS LOIRE METROPOLE;37.31;200;156153
47.45121904755, -0.46897055784999997;"{""coordinates"": [[-0.4689916521, 47.451379401], [-0.4689494636, 47.4510586941]], ""type"": ""LineString""}";8943;AC;19820101000000;GRAVITAIRE;23.51;22.28;ANGERS LOIRE METROPOLE;35.8;200;144786
47.5229604469, -0.471971988;"{""coordinates"": [[-0.4720930043, 47.5227857436], [-0.4718509717, 47.5231351502]], ""type"": ""LineString""}";1485;PVC;20061101000000;GRAVITAIRE;36.85;36.39;ANGERS LOIRE METROPOLE;42.91;200;137328
47.52855836925, -0.5287465758000001;"{""coordinates"": [[-0.5289645051, 47.5286748888], [-0.5285286465, 47.5284418497]], ""type"": ""LineString""}";32863;PVC;20110401000000;GRAVITAIRE;19.88;19.58;ANGERS LOIRE METROPOLE;41.81;160;618870
47.42654298945, -0.55292088825;"{""coordinates"": [[-0.5531658633, 47.4264691732], [-0.5526759132, 47.4266168057]], ""type"": ""LineString""}";18541;AC;19750401000000;GRAVITAIRE;22.91;22.59;ANGERS LOIRE METROPOLE;40.44;150;154384
47.47517406220077, -0.5343057637190034;"{""coordinates"": [[-0.5340608289, 47.4748555858], [-0.5341195475, 47.4749456298], [-0.5344809288, 47.4753946748], [-0.5345277812, 47.4754441135], [-0.5345720346, 47.4754724722]], ""type"": ""LineString""}";35161;BETON;19500101000000;DELESTEUR;0;0;ANGERS LOIRE METROPOLE;78.94;500;634378
47.4471361031, -0.5608058929499999;"{""coordinates"": [[-0.560759377, 47.447126328], [-0.5608524089, 47.4471458782]], ""type"": ""LineString""}";26803;AC;19740101000000;GRAVITAIRE;24.03;23.75;ANGERS LOIRE METROPOLE;7.34;200;162646
47.47173960765, -0.52103135655;"{""coordinates"": [[-0.5208865929, 47.4716142299], [-0.5211761202, 47.4718649854]], ""type"": ""LineString""}";27072;AC;19660101000000;GRAVITAIRE;42;0;ANGERS LOIRE METROPOLE;35.4;150;162915
47.500194243349995, -0.43800150235;"{""coordinates"": [[-0.4379462243, 47.5003181555], [-0.4380567804, 47.5000703312]], ""type"": ""LineString""}";5978;PVC;20010901000000;GRAVITAIRE;31.08;30.61;ANGERS LOIRE METROPOLE;28.78;200;141821
47.51595615045, -0.46120741099999996;"{""coordinates"": [[-0.4609497915, 47.5159960091], [-0.4614650305, 47.5159162918]], ""type"": ""LineString""}";33168;PVC;20111001000000;GRAVITAIRE;42.85;42.26;ANGERS LOIRE METROPOLE;39.81;250;623253
47.50662355055, -0.5984628750500001;"{""coordinates"": [[-0.5984149176, 47.5067070282], [-0.5985108325, 47.5065400729]], ""type"": ""LineString""}";23860;AC;19730101000000;GRAVITAIRE;45.23;45.18;ANGERS LOIRE METROPOLE;19.92;150;159703
47.4581693496, -0.49021283895;"{""coordinates"": [[-0.490531518, 47.4582510132], [-0.4898941599, 47.458087686]], ""type"": ""LineString""}";23932;PVC;19970101000000;GRAVITAIRE;0;23.94;NON PRIS GESTION;51.37;200;159775
47.425865483, -0.5561566341499999;"{""coordinates"": [[-0.5562279311, 47.4257194866], [-0.5560853372, 47.4260114794]], ""type"": ""LineString""}";29024;AC;19750401000000;GRAVITAIRE;26.29;25.87;ANGERS LOIRE METROPOLE;34.2;150;164867
47.564778161899994, -0.5058426039999999;"{""coordinates"": [[-0.5058609658, 47.5647973233], [-0.5058242422, 47.5647590005]], ""type"": ""LineString""}";27973;AC;19750101000000;GRAVITAIRE;20.23;0;ANGERS LOIRE METROPOLE;5.08;150;163816
47.53738702385, -0.56971627505;"{""coordinates"": [[-0.569286111, 47.5374675669], [-0.5701464391, 47.5373064808]], ""type"": ""LineString""}";16595;AC;19830101000000;GRAVITAIRE;29.57;28.76;ANGERS LOIRE METROPOLE;67.2;200;152438
47.5335835507, -0.61804958555;"{""coordinates"": [[-0.6180431646, 47.5334349105], [-0.6180560065, 47.5337321909]], ""type"": ""LineString""}";9171;PVC;19911201000000;GRAVITAIRE;54.45;53.2;ANGERS LOIRE METROPOLE;33.06;200;145014
47.46207483965, -0.6571304306;"{""coordinates"": [[-0.6566567442, 47.4619217736], [-0.657604117, 47.4622279057]], ""type"": ""LineString""}";6912;PVC;19890401000000;GRAVITAIRE;63.37;62.71;ANGERS LOIRE METROPOLE;79.12;200;142755
47.52269007185, -0.4684574584499999;"{""coordinates"": [[-0.4681592661, 47.5228060729], [-0.4687556508, 47.5225740708]], ""type"": ""LineString""}";23642;PVC;19920101000000;GRAVITAIRE;36.81;36.32;ANGERS LOIRE METROPOLE;51.79;200;159485
47.52196790665, -0.43285479484999995;"{""coordinates"": [[-0.4328641436, 47.522119516], [-0.4328454461, 47.5218162973]], ""type"": ""LineString""}";12747;PVC;20001001000000;GRAVITAIRE;0;0;NON PRIS GESTION;33.74;200;148590
47.4509107713, -0.46199364065;"{""coordinates"": [[-0.4619042202, 47.4511853213], [-0.4620830611, 47.4506362213]], ""type"": ""LineString""}";34177;PVC;20100601000000;GRAVITAIRE;21.02;20.82;NON PRIS GESTION;62.52;200;628116
47.4558739638, -0.6681290005;"{""coordinates"": [[-0.6681896891, 47.4560307897], [-0.6680683119, 47.4557171379]], ""type"": ""LineString""}";34205;PVC;20080101000000;GRAVITAIRE;68.22;66.66;NON PRIS GESTION;36.05;200;628146
47.4761385887, -0.5368980889;"{""coordinates"": [[-0.5368898369, 47.4761353299], [-0.5369063409, 47.4761418475]], ""type"": ""LineString""}";23501;PVC;19910101000000;GRAVITAIRE;0;22.51;ANGERS LOIRE METROPOLE;1.44;200;159344
47.51438851355, -0.47311122790000004;"{""coordinates"": [[-0.4728230096, 47.5144763627], [-0.4733994462, 47.5143006644]], ""type"": ""LineString""}";23817;PVC;19950601000000;GRAVITAIRE;33.85;33.7;ANGERS LOIRE METROPOLE;47.61;200;159660
47.4919845181, -0.5721430054500001;"{""coordinates"": [[-0.5721567436, 47.4920257826], [-0.5721292673, 47.4919432536]], ""type"": ""LineString""}";33062;PVC;20100601000000;GRAVITAIRE;47.61;47.46;ANGERS LOIRE METROPOLE;9.41;200;622572
47.4803521395, -0.67019269475;"{""coordinates"": [[-0.6704534648, 47.4806147139], [-0.6699319247, 47.4800895651]], ""type"": ""LineString""}";34376;PVC;20100101000000;GRAVITAIRE;55.73;54.76;NON PRIS GESTION;70.38;200;629590
47.4808970372, -0.5366763616000001;"{""coordinates"": [[-0.5365120786, 47.4808823046], [-0.5368406446, 47.4809117698]], ""type"": ""LineString""}";24693;AC;19770101000000;GRAVITAIRE;37.42;37.14;ANGERS LOIRE METROPOLE;24.98;150;160536
47.4517034511, -0.59538356505;"{""coordinates"": [[-0.5955236098, 47.4517141258], [-0.5952435203, 47.4516927764]], ""type"": ""LineString""}";11080;AC;19820101000000;GRAVITAIRE;20.07;19.7;PRIVEE;21.25;300;146923
47.442663250600006, -0.6105519544;"{""coordinates"": [[-0.6109405312, 47.4427395619], [-0.6101633776, 47.4425869393]], ""type"": ""LineString""}";9198;PVC;19880901000000;GRAVITAIRE;29.01;27.99;ANGERS LOIRE METROPOLE;61.02;200;145041
47.517218416199995, -0.6680486000999999;"{""coordinates"": [[-0.6680680921, 47.517002497], [-0.6680291081, 47.5174343354]], ""type"": ""LineString""}";39987;PVC;20131101000000;GRAVITAIRE;33.63;31.8;ANGERS LOIRE METROPOLE;48.1;200;691947
47.51789105105, -0.6679127552499999;"{""coordinates"": [[-0.6679724254, 47.5176544967], [-0.6678530851, 47.5181276054]], ""type"": ""LineString""}";39989;F;20131101000000;GRAVITAIRE;31.73;31.43;ANGERS LOIRE METROPOLE;53.36;200;691951
47.47214135195, -0.5145167443;"{""coordinates"": [[-0.5143888359, 47.4723786275], [-0.5146446527, 47.4719040764]], ""type"": ""LineString""}";28803;PEHD;20080201000000;GRAVITAIRE;41.58;41.43;ANGERS LOIRE METROPOLE;56.17;225;164646
47.4715120691, -0.4829009852;"{""coordinates"": [[-0.4829803579, 47.4714548418], [-0.4828216125, 47.4715692964]], ""type"": ""LineString""}";28629;AC;19730901000000;GRAVITAIRE;35.85;35.81;ANGERS LOIRE METROPOLE;17.47;150;164472
47.469984430500006, -0.5472049114499999;"{""coordinates"": [[-0.5470845002, 47.470093208], [-0.5473253227, 47.469875653]], ""type"": ""LineString""}";32682;PVC;20110501000000;GRAVITAIRE;44.64;43.24;ANGERS LOIRE METROPOLE;30.24;200;618388
47.4328665834, -0.5103330214999999;"{""coordinates"": [[-0.510599507, 47.4327606017], [-0.510066536, 47.4329725651]], ""type"": ""LineString""}";22965;AC;19500101000000;GRAVITAIRE;16.68;16.54;ANGERS LOIRE METROPOLE;46.6;200;158808
47.44468032215, -0.50662890455;"{""coordinates"": [[-0.5064835512, 47.4447081942], [-0.5067742579, 47.4446524501]], ""type"": ""LineString""}";1379;PVC;19870601000000;GRAVITAIRE;25.02;24.91;ANGERS LOIRE METROPOLE;22.78;200;137222
47.48862599235, -0.58511135805;"{""coordinates"": [[-0.5850259732, 47.4886618685], [-0.5851967429, 47.4885901162]], ""type"": ""LineString""}";3995;PVC;20091001000000;GRAVITAIRE;44.85;44.62;ANGERS LOIRE METROPOLE;15.14;200;139838
47.5043038103, -0.58833529785;"{""coordinates"": [[-0.5882967135, 47.5043266639], [-0.5883738822, 47.5042809567]], ""type"": ""LineString""}";8450;AC;19500101000000;GRAVITAIRE;44.09;0;ANGERS LOIRE METROPOLE;7.72;300;144293
47.50988356475, -0.5826490864;"{""coordinates"": [[-0.5826592687, 47.5098719938], [-0.5826389041, 47.5098951357]], ""type"": ""LineString""}";10286;PVC;19900401000000;GRAVITAIRE;0;52.59;ANGERS LOIRE METROPOLE;3;200;146129
